Incident,Date,Incident Type,Address,Longitude,Latitude,Time,Response
"MFD HazMat Team responds to Fuel Spill in Mt. Horeb","01/25/2016","Hazmat","Highway 151, County Highway J Dairy Ridge Road, Mt Horeb, WI","-89.719823","42.997570","2016-01-25T12:00:00-06:00","0"
"Firefighters, MG&E Investigate Odor at East Side Walmart","01/24/2016","Appliance","4100 Block Nakoosa Trail, Madison, WI","-89.312980","43.109054","2016-01-24T18:11:00-06:00","0:04:00"
"MFD Called To University Ave. Apartment","01/24/2016","Electrical","2100 Block University Ave, Madison, WI","-89.421619","43.072764","2016-01-24T16:59:00-06:00","0:03:00"
"Smoke Alarm in Mobile Home Alerts Family of Four","01/24/2016","Structure","40 Block Rustic Ridge Parkway, Madison, WI 53716","-89.281127","43.072654","2016-01-24T02:13:00-06:00","0"
"Tent Burns Down On East Side, Nobody Injured","01/23/2016","Candle","Zeier Rd, Madison, WI","-89.300806","43.126117","2016-01-23T13:05:00-06:00","0:04:00"
"Heavy Smoke and Flames, Firefighters Battle House Fire in 20 Degree Weather","01/23/2016","Structure","1400 Block Reetz Road, Madison, WI 53711","-89.461102","43.037907","2016-01-23T04:30:00-06:00","1:28:00"
"Five People Rescued From Downtown Elevator","01/22/2016","Elevator","N. Park Street, Madison, WI","-89.400741","43.072430","2016-01-22T19:47:00-06:00","0:05:00"
"Firefighters Extinguish Apartment Fire","01/22/2016","Structure","10 Block N Burberry Dr, Madison, WI","-89.513785","43.051073","2016-01-22T13:03:00-06:00","0"
"Ice Fisherman Rescued from Lake Mendota","01/20/2016","Lake Rescue","2100 Block Allen Blvd, Madison, WI 53705","-89.485557","43.093081","2016-01-20T07:16:00-06:00","0"
"The Merchant Suffers Minimal Fire Damage","01/19/2016","Cooking","100 Block S. Pinckney Street, Madison, WI 53703","-89.381726","43.074652","2016-01-19T21:30:00-06:00","0"
"Faulty Sprinkler Causes Water Damage at Health Clinic","01/18/2016","Structure","3200 Block Dryden Dr, Madison, WI","-89.358771","43.129936","2016-01-18T00:04:00-06:00","0:04:00"
"Fire Wipes Out Chicken Coop, Spreads To Garage on Southeast Side","01/17/2016","Structure","Treichel St, Madison, WI","-89.289528","43.029775","2016-01-17T00:44:00-06:00","0:09:00"
"One Rescued From Stalled Downtown Elevator","01/14/2016","Elevator","500 Block W. Johnson St, Madison, WI","-89.382440","43.080098","2016-01-14T16:26:00-06:00","0"
"Mysterious Burning Smell Uncovers Furnace Problem On East Side","01/12/2016","Appliance","5000 Block Camden Rd, Madison, WI","-89.311554","43.068068","2016-01-12T17:27:00-06:00","0"
"Firefighters Reunite Mom and Baby After Vehicle Lockout","01/12/2016","Vehicle","200 Block Junction Rd, Madison, WI","-89.527481","43.062422","2016-01-12T09:14:00-06:00","0"
"Madison Firefighters Called To North Side Fire","01/10/2016","Structure","2400 Block Calypso Rd, Madison, WI","-89.366254","43.124486","2016-01-10T13:01:00-06:00","0:04:00"
"Two Extinguish Kitchen Fire On Southwest Side","01/09/2016","Cooking","8100 Block Mayo Dr, Madison, WI","-89.524298","43.032866","2016-01-09T17:15:00-06:00","0:05:00"
"MFD Searches For Smoke Source At West Side Restaurant","01/08/2016","Electrical","5600 Block Schroeder Rd, Madison, WI","-89.476965","43.046375","2016-01-08T05:50:00-06:00","0:07:00"
"Couple Escapes Carbon Monoxide Leak Thanks To Working Detector","01/07/2016","Carbon Monoxide","Jason Place, Madison, WI","-89.503206","43.017675","2016-01-07T20:55:00-06:00","0:06:00"
"Kitchen Fire Causes Significant Damage at Porchlight Community Housing","01/06/2016","Cooking","300 Block N. Brooks St, Madison, WI","-89.402466","43.064221","2016-01-06T12:57:00-06:00","0:04:00"
"Burning Boughs Spark Concern On West Side","01/05/2016","Structure","Idledale Circle, Madison, WI","-89.481913","43.027650","2016-01-05T18:53:00-06:00","0:05:00"
"North Side Restaurant Severely Damaged By Vehicle Crash","01/04/2016","Vehicle","1300 Block Northport Dr, Madison, WI","-89.371679","43.134327","2016-01-04T17:34:00-06:00","0:03:00"
"Greasy Buildup Leads To Cooking Complications On Southwest Side","01/03/2016","Cooking","5800 Block Raymond Rd, Madison, WI","-89.479806","43.031989","2016-01-03T23:40:00-06:00","0:05:00"
"North Side Restaurant Fire Under Investigation","01/02/2016","Structure","3000 Block Sherman Ave, Madison, WI","-89.363524","43.129164","2016-01-02T18:58:00-06:00","0:03:00"
"Small Fire On West Side Causes Extensive Smoke Damage","01/02/2016","Structure","Coronado Ct, Madison, WI","-89.495357","43.061786","2016-01-02T13:22:00-06:00","0:07:00"
"Firefighters Extinguish Basement Fire In East Side Home","12/26/2015","Structure","400 Block Russell Street, Madison, WI 53704","-89.353411","43.090437","2015-12-26T23:06:00-06:00","0:05:00"
"Unattended Cooking Results In Smoke Damage On West Side","12/21/2015","Cooking","6200 Block Mineral Point Rd, Madison, WI","-89.486922","43.061155","2015-12-21T19:54:00-06:00","0:04:00"
"Obstructed Chimney To Blame For Carbon Monoxide Scare","12/21/2015","Carbon Monoxide","Acacia Ln, Madison, WI","-89.320880","43.059290","2015-12-21T13:53:00-06:00","0:01:00"
"Construction Materials Ignite, Causing Rooftop Fire on Park St.","12/19/2015","Structure","600 Block S. Park St, Madison, WI","-89.400867","43.060947","2015-12-19T16:02:00-06:00","0:03:00"
"High Winds Leave Madison Man Stranded On Rooftop","12/16/2015","Special Rescue","Forge Dr, Madison, WI","-89.285087","43.067873","2015-12-16T14:34:00-06:00","0:06:00"
"West Side Vehicle Fire Remains Under Investigation","12/15/2015","Vehicle","Berkshire Rd, Madison, WI","-83.414714","30.595276","2015-12-15T03:36:00-06:00","0:07:00"
"One Displaced, Nobody Injured In East Side Fire","12/14/2015","Candle","1100 Block MacArthur Rd, Madison, WI","-89.317604","43.112615","2015-12-14T23:16:00-06:00","0:05:00"
"Cigarette Smoking Leads To Small Mattress Fire","12/13/2015","Smoking","500 Block E. Dean Ave, Madison, WI","-89.331369","43.069306","2015-12-13T23:40:00-06:00","0:06:00"
"Chimney Fire Contained, Extinguished On South Side","12/12/2015","Structure","Madison, WI","-89.401230","43.073052","2015-12-12T19:36:00-06:00","0:06:00"
"Firefighters Assist Locked-Out Mom As Toddler Sleeps","12/10/2015","Special Rescue","1800 Block Fordem Ave, Madison, WI","-89.363499","43.095068","2015-12-10T19:33:00-06:00","0:04:00"
"Firefighters Rescue Man Who Fell Through Bathroom Floor","12/09/2015","Special Rescue","Westbrook Cr, Madison, WI","-89.490025","43.030795","2015-12-09T07:46:00-06:00","0:04:00"
"Firefighters Check Apparent Gas Leak On East Side","12/08/2015","Gas Leak","Venetian Ln, Madison, WI","-89.268740","43.078982","2015-12-08T16:15:00-06:00","0:07:00"
"Smoke Investigation Uncovers Need For Detectors In East Side Home","12/08/2015","Smoke Scare","2700 Block Hoard St, Madison, WI","-89.347506","43.105179","2015-12-08T15:54:00-06:00","0:05:00"
"Large Fire Totals Insulation Service Truck on East Side","12/08/2015","Appliance","Vondron Rd./Melinda Dr, Madison, WI","-89.293343","43.074345","2015-12-08T09:43:00-06:00","0:05:00"
"Engine 1 Knocks Down Vehicle Fire On John Nolen Dr.","12/06/2015","Vehicle","John Nolen Dr./E. Lakeside St, Madison, WI","-89.381356","43.055983","2015-12-06T03:15:00-06:00","0:05:00"
"Smoke Fills West Side Building; Unattended Cooking The Cause","12/03/2015","Cooking","800 Block Kottke Dr, Madison, WI","-89.506709","43.048708","2015-12-03T14:41:00-06:00","0:06:00"
"Firefighters, Paramedics Tend To Large Spill At West Side Gas Station","12/02/2015","Hazmat","Madison, WI","-89.401230","43.073052","2015-12-02T19:33:00-06:00","0:05:00"
"One Rescued From Elevator Following Smoke Alarm Activation","12/02/2015","Elevator","400 Block W. Washington Ave, Madison, WI","-90.155800","38.680354","2015-12-02T10:39:00-06:00","0:04:00"
"Cause Of West Side Car Fire Unknown","12/01/2015","Vehicle","3200 Block Stonecreek Dr, Madison, WI","-89.503176","43.015493","2015-12-01T02:23:00-06:00","0:07:00"
"Gas Leak Sparks Small Kitchen Fire At West Side Restaurant","11/29/2015","Gas Leak","5400 Block Schroeder Rd, Madison, WI","-89.473551","43.046094","2015-11-29T07:09:00-06:00","0:05:00"
"Unattended Cooking Fire Causes Minor Damage On Thompson Dr.","11/24/2015","Cooking","300 Block N. Thompson Dr, Madison, WI","-89.296711","43.102517","2015-11-24T21:03:00-06:00","0:03:00"
"Alarms At Camp Randall Point To Broken Pipe","11/24/2015","Structure","1400 Block Monroe St, Madison, WI","-89.409183","43.070093","2015-11-24T20:26:00-06:00","0"
"Gasoline Smell Uncovers A Leak In University Ave. Garage","11/22/2015","Vehicle","2100 Block University Ave, Madison, WI","-89.421619","43.072764","2015-11-22T20:57:00-06:00","0:09:00"
"Stick Of Butter Melts Into Small Fire On Oakridge Ave.","11/22/2015","Cooking","3100 Block Oakridge Ave, Madison, WI","-89.339824","43.091179","2015-11-22T15:56:00-06:00","0:05:00"
"Firefighters Educate Kids About Dangers Of Leaf Burning","11/20/2015","Outdoor","1600 Block Packers Ave, Madison, WI","-89.355165","43.117583","2015-11-20T16:18:00-06:00","0:05:00"
"Crash Involving Multiple Semis Shuts Down Interstate Overnight","11/19/2015","Vehicle","I90 Eastbound, Madison, WI","-89.401230","43.073052","2015-11-19T23:11:00-06:00","0"
"Two Displaced Following Grease Fire on East Side","11/17/2015","Cooking","900 Block Vernon Ave, Madison, WI","-89.305583","43.084792","2015-11-17T16:34:00-06:00","0:03:00"
"Engine 10 Assists New Mom After Lockout","11/17/2015","Vehicle","2000 Block Northport Dr, Madison, WI","-89.357443","43.128573","2015-11-17T12:02:00-06:00","0:02:00"
"Ladder Tower 8 Assists Ill Person Off Of Rooftop","11/16/2015","Special Rescue","S. Stoughton Rd, Madison, WI","-89.309944","43.073434","2015-11-16T11:03:00-06:00","0:02:00"
"MFD Receives Multiple Calls For Yard Waste Fires","11/15/2015","Outdoor","Tennessee Trl; Maple Run Dr, Madison, WI","-89.496389","43.020223","2015-11-15T13:03:00-06:00","0"
"Outdoor Sauna Fire Box Melts On Near West Side","11/14/2015","Structure","Grand Ave, Madison, WI","-89.431377","43.070642","2015-11-14T23:39:00-06:00","0:04:00"
"Hub Apartments Temporarily Evacuated Due To Dumpster Fire","11/13/2015","Structure","400 Block N. Frances St, Madison, WI","-89.395841","43.073204","2015-11-13T20:53:00-06:00","0:04:00"
"Driver Takes Off With Fuel Pump, Causing Small Gas Spill","11/11/2015","Hazmat","2400 Block W. Broadway, Madison, WI","-89.352329","43.046322","2015-11-11T13:14:00-06:00","0:07:00"
"Short-Circuiting Space Heater Creates Small Blaze In West Side Home","11/11/2015","Structure","1400 Block W. Skyline Dr, Madison, WI","-90.778391","34.995190","2015-11-11T07:59:00-06:00","0:08:00"
"MFD and MG&E Respond To West Side Gas Leak","11/10/2015","Gas Leak","Burberry Dr, Madison, WI","-89.514453","43.050646","2015-11-10T15:05:00-06:00","0"
"Engine 8 Knocks Down Vehicle Fire on Stoughton Rd.","11/09/2015","Vehicle","2100 Block N. Stoughton Rd, Madison, WI","-89.309534","43.067491","2015-11-09T19:57:00-06:00","0:04:00"
"Engine 13 Swiftly Responds To Fully-Involved Vehicle Fire","11/08/2015","Vehicle","Jubilee Cr, Madison, WI","-89.269735","43.092548","2015-11-08T16:57:00-06:00","0:04:00"
"Malfunctioning Elevator Pump Sends Firefighters To University Ave.","11/06/2015","Structure","5000 Block University Ave, Madison, WI","-89.466886","43.076089","2015-11-06T20:59:00-06:00","0:07:00"
"Smoke On West Side Points Toward Outdoor Leaf Burning","11/05/2015","Outdoor","Country Grove Dr, Madison, WI","-89.513151","43.012023","2015-11-05T15:53:00-06:00","0"
"Resident Only Gone 15 Minutes Before MFD Is Called For Burning Food","11/01/2015","Cooking","Starflower Dr, Madison, WI","-89.516651","43.052603","2015-11-01T18:44:00-06:00","0:06:00"
"Stovetop Fire Leaves Behind $50,000 Of Damage, No Injuries","10/30/2015","Cooking","1600 Block N. Thompson Drive, Madison, WI","-89.297797","43.119115","2015-10-30T12:49:00-05:00","0:06:00"
"Worn Power Lines Spark Calls to Ziegler Rd.","10/28/2015","Outdoor","700 Block Ziegler Rd, Madison, WI","-89.306096","43.106684","2015-10-28T20:09:00-05:00","0"
"Crews Check On Ill Caller, Discover Carbon Monoxide","10/28/2015","Structure","Progress Dr, Madison, WI","-89.208745","43.076891","2015-10-28T15:14:00-05:00","0"
"Overloaded Wash Machine Stirs Up Smoke On Langdon","10/27/2015","Appliance","600 Block Langdon St, Madison, WI","-89.395358","43.075807","2015-10-27T21:02:00-05:00","0:06:00"
"Hazmat Team Returns To O’Keeffe Middle School, Identifies Source of Airborne Irritant","10/27/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI","-89.356966","43.087021","2015-10-27T09:22:00-05:00","0:05:00"
"Crews Respond to Vehicle Fire Outside City-County Building","10/26/2015","Vehicle","200 Block S. Carroll St, Madison, WI","-89.387321","43.075377","2015-10-26T11:08:00-05:00","0:05:00"
"O’Keeffe Middle School Temporarily Evacuated for Hazmat Investigation","10/26/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI","-89.356966","43.087021","2015-10-26T10:01:00-05:00","0:05:00"
"One Displaced Following Kitchen Fire On Karstens Dr.","10/25/2015","Cooking","3700 Block E. Karstens Dr, Madison, WI","-89.385919","43.133794","2015-10-25T22:51:00-05:00","0:06:00"
"Planter Compost Ignites On Big Dipper Dr.","10/23/2015","Outdoor","6000 Block Big Dipper Dr, Madison, WI","-89.276895","43.086440","2015-10-23T16:29:00-05:00","0:07:00"
"Crews Soak Small Fire at Downtown Intersection","10/21/2015","Outdoor","500 Block W. Washington Ave, Madison, WI","-90.155508","38.681308","2015-10-21T12:48:00-05:00","0"
"Electrical Short Causes Small Fire At Downtown Office Complex","10/21/2015","Structure","200 Block W. Washington Ave, Madison, WI","-90.156372","38.678423","2015-10-21T01:06:00-05:00","0:07:00"
"Active Smoke Alarm Sends Firefighters to Would-Be Kitchen Fire","10/19/2015","Cooking","3200 Block Bluff St, Madison, WI","-89.442328","43.070172","2015-10-19T18:19:00-05:00","0:04:00"
"Discarded Cigarettes To Blame For Small Grass Fire","10/19/2015","Outdoor","Whitney Way & Eastbound Beltline, Madison, WI","-89.401230","43.073052","2015-10-19T15:29:00-05:00","0:04:00"
"Two Flee the Scene of Burning Barrel After Police Arrive","10/17/2015","Outdoor","500 Block State St, Madison, WI","-90.159956","38.682137","2015-10-17T18:48:00-05:00","0:01:00"
"Fire Crews Find Active Flames Inside Stove Pipe","10/17/2015","Structure","2800 Block Union St, Madison, WI","-89.343308","43.100772","2015-10-17T17:05:00-05:00","0:05:00"
"Downtown Tenants Escape Carbon Monoxide Threat","10/15/2015","Cooking","10 Block S. Broom St, Madison, WI","-89.388584","43.071119","2015-10-15T23:44:00-05:00","0"
"Firefighters Quell Vehicle Fire While Owner At Work","10/13/2015","Vehicle","6000 Block American Parkway, Madison, WI","-89.289498","43.158167","2015-10-13T11:51:00-05:00","0:06:00"
"Crews Called After Children Set Fire to Phone Book","10/12/2015","Structure","5800 Block Russett Rd, Madison, WI","-89.480022","43.032788","2015-10-12T18:27:00-05:00","0:04:00"
"Artist's Kiln Generates Small Fire In Dining Room","10/10/2015","Structure","2300 Block Regent St, Madison, WI","-89.426463","43.068226","2015-10-10T19:53:00-05:00","0:04:00"
"Firefighters Assist with Gas Leak at Memorial Union","10/10/2015","Outdoor","800 Block Langdon St, Madison, WI","-89.399868","43.076479","2015-10-10T10:19:00-05:00","0:05:00"
"Source of Smoke In Columbus Ln. Building Still A Mystery","10/09/2015","Structure","2400 Block Columbus Ln, Madison, WI","-89.308652","43.130131","2015-10-09T23:22:00-05:00","0:06:00"
