Incident,Date,Incident Type,Address,Time
"Kayaker OK After Seeking Medical Attention On Lake Wingra","06/18/2018","EMS","Arboretum Drive & Balden Street, Madison, WI","2018-06-18T10:16:00-05:00"
"Firefighters Rescue Woman Stranded In A Tree","06/14/2018","Assist Citizen","400 Block Henry Mall, Madison, WI 53706","2018-06-14T16:04:00-05:00"
"Burned Leaves Send Firefighters To Northside Home","06/14/2018","Outdoor","1200 Block Northport Drive, Madison, WI","2018-06-14T13:15:00-05:00"
"Working Carbon Monoxide Alarm Prompts Household Evacuation Overnight","06/12/2018","Carbon Monoxide","Shorewood Hills, WI 53705","2018-06-12T23:55:00-05:00"
"Crews Respond To Fire In Blooming Grove","06/12/2018","Outdoor","3300 Block Meier Road, Madison, WI","2018-06-12T07:42:00-05:00"
"Diesel Leak Discovered At East Side Construction Site","06/10/2018","Fuel Spill","S. Fair Oaks Avenue & Dixon Street, Madison, WI","2018-06-10T07:15:00-05:00"
"Ten Rescued From Downtown Elevator","06/09/2018","Elevator","100 Block S. Brooks Street, Madison, WI","2018-06-09T00:39:00-05:00"
"Investigators Looking Into Cause Of Fire At The Old Fashioned","06/08/2018","Structure","10 Block N. Pinckney, Madison, WI 53703","2018-06-08T15:49:00-05:00"
"Burned Food Causes Smoke Scare In Downtown Apartment","06/01/2018","Smoke Scare","200 Block Lakelawn Place, Madison, WI","2018-06-01T04:24:00-05:00"
"Two-Vehicle Crash Ties Up East Washington Intersection; One Taken To Hospital","05/29/2018","Vehicle","East Washington Ave. & First Street, Madison, WI","2018-05-29T14:14:00-05:00"
"Kitchen Fire Caused By Unattended Cooking; Nobody Injured","05/28/2018","Cooking","4200 Block Dwight Drive, Madison, WI","2018-05-28T16:15:00-05:00"
"Pickup Truck Totaled After Catching Fire On Beltline","05/28/2018","Vehicle","U.S. Highway 12 (Eastbound), Madison, WI","2018-05-28T15:44:00-05:00"
"Grease Fire Damages West Side Kitchen","05/25/2018","Cooking","5700 Block Balsam Road, Madison, WI","2018-05-25T21:30:00-05:00"
"Ladder 2 Responds To Power Pole Fire","05/24/2018","Outdoor","6000 Block Research Park Blvd, Madison, WI","2018-05-24T15:27:00-05:00"
"Fire Crew Issues Reminder About Safe Grilling","05/22/2018","Cooking","1500 Block Trailsway, Madison, WI","2018-05-22T16:19:00-05:00"
"Station 7 Crews Respond To Rollover Crash","05/19/2018","Vehicle","Schroeder Road & S. Gammon Road, Madison, WI","2018-05-19T13:07:00-05:00"
"Lightning Strikes Two Separate Structures, Minutes Apart","05/14/2018","Lightning Strike","6000 Block Pinelake Drive and 7000 WIldberry Drive, Madison, WI","2018-05-14T00:26:00-05:00"
"Cooking Fire Displaces Family, Sends Two To Hospital","05/11/2018","Cooking","1900 Block Beld Street, Madison, WI 53713","2018-05-11T13:34:00-05:00"
"Woman Injured While Attempting To Fix Dent Using Open Flame","05/10/2018","Vehicle","Greening Lane, Madison, WI 53705","2018-05-10T18:01:00-05:00"
"Two Adults, One Child Transported after Rollover Accident","05/09/2018","Vehicle","1400 Block I-90 WB, Madison, WI","2018-05-09T10:50:00-05:00"
"Two People Trapped on Roof by Apartment Fire","05/08/2018","Structure","200 Block North Street, Madison, WI","2018-05-08T00:07:00-05:00"
"Kayaker, Two Children Rescued From Lake Monona","05/06/2018","Lake Rescue","Lake Monona, Madison, WI","2018-05-06T15:44:00-05:00"
"Engine 9 Responds To Vehicle Fire Outside Eagle Heights","05/05/2018","Vehicle","900 Block Eagle Heights Drive, Madison, WI 53706","2018-05-05T22:39:00-05:00"
