DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
20567.85,789,43.076844,-89.392142,6320,1.0,0.0,EB Langdon fs N Henry ,89,0.0,0.0,4.11,0.0,0,0,"[-89.3921359685323, 43.07683605669143]"
3335.33,785,43.077515,-89.388055,6321,0.0,0.0,SB Wisconsin ns W Gorham ,96,0.0,0.0,0.67,0.0,0,0,"[-89.3880489697674, 43.07750705613479]"
375205.27,78,43.075745,-89.400179,6322,59.94,0.0,EB Langdon fs N Park ,99,46.0,0.0,75.04,0.0,0,0,"[-89.40017296675147, 43.075737057671574]"
4617189.17,204,43.073399,-89.401365,6323,202.33,202.33,WB Univ Ave fs N Park ,100,177.17,177.17,923.44,923.44,0,0,"[-89.4013589664114, 43.07339105758655]"
467116.57,755,43.071144,-89.404229,6324,18.52,18.52,SB N Mills ns W Dayton ,104,12.54,12.54,93.42,93.42,0,0,"[-89.40422296620501, 43.07113605805283]"
208573.59,381,43.054383,-89.396533,6325,22.56,22.56,NB S Park fs W Olin ,107,13.53,13.53,41.71,41.71,0,0,"[-89.39652697034745, 43.0543750608067]"
0.0,362,43.049924,-89.392561,6326,0.0,0.0,WB Gilson ns Beld ,110,0.0,0.0,0.0,0.0,0,0,"[-89.39255497143719, 43.04991606106773]"
149258.1,60,43.06501,-89.397603,6327,14.5,14.5,EB West Wash at Ped Bridge ,113,11.51,11.51,29.85,29.85,0,0,"[-89.39759696876031, 43.065002058816525]"
260950.01,733,43.067983,-89.400724,6328,18.03,18.03,NB N Park fs Regent ,115,17.03,17.03,52.19,52.19,0,0,"[-89.40071796683571, 43.06797505821417]"
74365.05,331,43.038466,-89.401117,6329,6.53,6.53,EB W Badger fs Fiedler ,121,8.07,8.07,14.87,14.87,0,0,"[-89.40111096975997, 43.038458063363535]"
23959.52,675,43.048957,-89.394289,6330,1.5,1.5,SB S Park fs Wingra ,124,1.0,1.0,4.79,4.79,0,0,"[-89.3942829711651, 43.04894906174615]"
670100.24,437,43.073275,-89.413154,6331,45.71,36.02,EB Univ Ave fs N Breese ,133,37.01,33.51,134.02,131.46,0,0,"[-89.41314796382585, 43.073267058563914]"
10584.86,690,43.053981,-89.399186,6332,1.0,1.0,SB Fish Hatchery fs Midland ,146,0.0,0.0,2.12,2.12,0,0,"[-89.39917996935479, 43.053973060808836]"
27939.48,689,43.053872,-89.391782,6333,4.53,4.53,EB W Olin fs Hickory ,147,4.51,4.51,5.59,5.59,0,0,"[-89.39177597204262, 43.05386406088506]"
